scenarioId,median_constant,median_stratified,median_linear,median_rcs_3,median_rcs_4,lower_constant,lower_stratified,lower_linear,lower_rcs_3,lower_rcs_4,upper_constant,upper_stratified,upper_linear,upper_rcs_3,upper_rcs_4
1,0.008304160668305773,0.020920681839993023,0.013698285083611412,0.01766196718071239,0.020727972102616322,3.013578342651411e-4,0.00812662628226129,0.0028030716296850826,0.005426513302095088,0.00750492420799335,0.029008614447898814,0.0408655242212479,0.03529840617459601,0.038427520646677246,0.04053048194747132
2,0.009715246473641564,0.020241080939653627,0.014142536543110545,0.017613871526928164,0.021066990864985567,0.004385662875196468,0.008396125492847593,0.004158171285625439,0.005532633868513993,0.008189702022562188,0.029013878063239705,0.041525838261855706,0.03458399834317805,0.0379713305074977,0.04006596615441716
3,0.012484405833367102,0.020669703627174688,0.0153769415889118,0.017590319323312963,0.02081776855210992,0.008546356263116131,0.008033116180038147,0.006407162311188316,0.00549764835205074,0.008484311897971627,0.02884527711438222,0.04241830118862075,0.03413283924606578,0.038972383852516994,0.04128591184644782
4,0.009290692240039925,0.019694370691070544,0.013686485074775004,0.016496379584044187,0.019747283229949748,0.004729757132716631,0.007128056660029499,0.004125922115083135,0.005143419257222965,0.007670435960599622,0.02996827644969355,0.04086950080773975,0.034627088622318454,0.03730952926300808,0.04011444536754631
5,0.008573088373007423,0.021928527875343357,0.014497425939589621,0.018729388195190086,0.022805238155582417,3.5428134929694994e-4,0.009505328862200998,0.0021899045486048875,0.005566268423407199,0.008489405721062097,0.029198292283129153,0.04366638938170547,0.03462132569195568,0.03818921689140996,0.043218831226925235
6,0.00880299164713267,0.022881773470719867,0.014283515814299286,0.01856988448740318,0.02253169255472924,0.0027573774319808453,0.007809702357709625,0.0030413947805176898,0.005583678746836372,0.007321169627529256,0.029186978124861776,0.04462893504853938,0.035116363071126866,0.03848442298863959,0.04171531712328654
7,0.010069066686531184,0.023073774171563102,0.01495420457316633,0.018880144062853786,0.022551013932443506,0.005316817097698442,0.0076882367753622945,0.0037609068497827768,0.005692933498531991,0.008085703621522358,0.02932218612672185,0.04377030669055591,0.034375107187271235,0.03817492389693793,0.0418053728763272
8,0.008722289627149646,0.022114410997489287,0.014715832844871891,0.018628578907582197,0.022346795529364638,0.0030065516694402685,0.008148663075058411,0.0027418508143325004,0.005643183905997001,0.008777273417300634,0.028653641276027556,0.04210798092707198,0.034025809555091754,0.037452167751469125,0.040917177555793986
9,0.008410429946613777,0.0180719797572131,0.01301907362359795,0.015543123538293452,0.017964704259192506,4.4875510739002093e-4,0.0066320576408045555,0.0027346363390841205,0.004781631622782249,0.005696481189081333,0.026746092971748004,0.037541380453612605,0.03140488351830799,0.032749834685407944,0.03519556061759831
10,0.0103058100572611,0.018506131584789295,0.014529682970876836,0.01629185005313423,0.018185670990634523,0.0057293897261532535,0.006491240393079643,0.0055450539557975465,0.005046889950819868,0.0063464367504787065,0.028801782543509326,0.037403543419206986,0.033354878598796225,0.03380675760615637,0.034376999134287836
