scenarioId,treatment,risk,rcs_3,rcs_4,rcs_5
502,NA,0.01,0.66,0.25,0.09
503,NA,NA,0.71,0.2,0.09
504,NA,NA,0.3,0.47,0.22
505,0.6,0.29,0.07,0.03,0.02
506,0.17,0.54,0.17,0.08,0.04
507,0.04,0.57,0.28,0.07,0.05
508,0.89,0.02,0.06,0.02,0.02
509,0.82,0.13,0.02,0.03,0.01
510,0.58,0.28,0.06,0.05,0.03
511,0.35,0.47,0.09,0.06,0.04
512,0.95,0.02,0.01,0.02,0.01
513,0.29,0.54,0.09,0.04,0.04
514,0.01,0.43,0.39,0.11,0.07
515,NA,0.2,0.6,0.13,0.07
516,0.64,0.02,0.22,0.08,0.04
517,0.88,0.09,0.02,0,0.01
518,0.75,0.17,0.05,0.01,0.01
519,0.6,0.26,0.09,0.04,0.01
520,0.96,0.02,0.01,0.01,0.01
521,0.93,0.02,0.02,0.02,0.01
522,0.87,0.08,0.03,0.01,0.01
523,0.81,0.11,0.04,0.02,0.01
524,0.96,0.01,0.02,0.01,0.01
525,0.81,0.11,0.04,0.02,0.01
526,0.52,0.28,0.12,0.05,0.03
527,0.27,0.35,0.24,0.09,0.04
528,0.9,0.03,0.03,0.02,0.02
529,0.04,0.77,0.1,0.06,0.03
530,NA,0.5,0.36,0.08,0.05
531,NA,0.2,0.62,0.11,0.07
532,0.38,0.01,0.38,0.13,0.1
533,0.36,0.5,0.08,0.03,0.03
534,0.04,0.72,0.14,0.05,0.05
535,0,0.73,0.17,0.05,0.05
536,0.87,0.03,0.05,0.03,0.02
537,NA,0.83,0.07,0.07,0.03
538,NA,0.06,0.69,0.18,0.07
539,NA,0,0.73,0.19,0.08
540,0.01,NA,0.37,0.38,0.24
541,0.9,0.04,0.03,0.02,0.01
