method,discrimination,calibration,aic
constant treatment effect,0.5246023176822082,0.010365055755177618,9335.7001110426
linear interaction,0.5256234681306721,0.011525747922609719,9340.258302206103
RCS smoothing with 3 knots,0.5253428890834839,0.011741309508866453,9341.72701004884
RCS smoothing with 4 knots,0.5237102257372859,0.012296406788498113,9334.330548298092
RCS smoothing with 5 knots,0.524257716075008,0.01213928726241574,9336.7322616959
