scenario,base,type,sampleSize,auc,harm,b0,b1,b2,b3,b4,b5,b6,b7,b8,g0,g1,g2,c,averageTrueBenefit,averageObservedBenefit
708,moderate,non-monotonic,17000,0.75,negative,-1.69,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.1734843,1.560407,0.105142,0,0.029,0.03625
709,moderate,constant,4250,0.85,absent,-2.15,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,-0.2231435513142097,1,0,0,0.024,0.024
710,moderate,constant,4250,0.85,moderate-positive,-2.15,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,-0.2231435513142097,1,0,0,0.024,0.018
711,moderate,constant,4250,0.85,strong-positive,-2.15,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,-0.2231435513142097,1,0,0,0.024,0.012
712,moderate,constant,4250,0.85,negative,-2.15,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,-0.2231435513142097,1,0,0,0.024,0.03
713,moderate,linear-high,4250,0.85,absent,-2.15,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,-0.41,0.7846154,0,0,0.024,0.024
714,moderate,linear-high,4250,0.85,moderate-positive,-2.15,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,-0.41,0.7846154,0,0,0.024,0.018
715,moderate,linear-high,4250,0.85,strong-positive,-2.15,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,-0.41,0.7846154,0,0,0.024,0.012
716,moderate,linear-high,4250,0.85,negative,-2.15,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,-0.41,0.7846154,0,0,0.024,0.03
717,moderate,quadratic-high,4250,0.85,absent,-2.15,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,-4.13,1,-0.05941311,-5,0.024,0.024
718,moderate,quadratic-high,4250,0.85,moderate-positive,-2.15,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,-4.13,1,-0.05941311,-5,0.024,0.018
719,moderate,quadratic-high,4250,0.85,strong-positive,-2.15,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,-4.13,1,-0.05941311,-5,0.024,0.012
720,moderate,quadratic-high,4250,0.85,negative,-2.15,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,-4.13,1,-0.05941311,-5,0.024,0.03
721,moderate,non-monotonic,4250,0.85,absent,-2.15,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,-0.08537934,1.354139,0.0742429,0,0.024,0.024
722,moderate,non-monotonic,4250,0.85,moderate-positive,-2.15,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,-0.08537934,1.354139,0.0742429,0,0.024,0.018
723,moderate,non-monotonic,4250,0.85,strong-positive,-2.15,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,-0.08537934,1.354139,0.0742429,0,0.024,0.012
724,moderate,non-monotonic,4250,0.85,negative,-2.15,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,-0.08537934,1.354139,0.0742429,0,0.024,0.03
